domain,variable,season,comparison,model,variant_label,grid_label,units,mean_difference,paired_sd,effect_size,bootstrap_lower,bootstrap_upper,interval_classification,sign_fraction,sign_fraction_direction,fraction_positive,fraction_negative,ensemble_mean,ensemble_median_difference,inter_model_sd,model_count,positive_mean_count,negative_mean_count,temporal_ci_positive_count,temporal_ci_negative_count,temporal_ci_includes_zero_count,source_per_model,source_ensemble
gulf_coast,pr,ANN,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,mm/day,0.0388551,0.4989942,0.0778668,-0.0803148,0.1638490,includes_zero,0.5000000,positive,0.5000000,0.5000000,0.0105678,0.0251550,0.0704243,4,3,1,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,pr,ANN,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,mm/day,-0.0866398,0.5357898,-0.1617048,-0.2944393,0.1068244,includes_zero,0.4666667,negative,0.5333333,0.4666667,0.0105678,0.0251550,0.0704243,4,3,1,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,pr,ANN,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,mm/day,0.0786008,0.4846853,0.1621688,-0.1293051,0.2579644,includes_zero,0.6000000,positive,0.6000000,0.4000000,0.0105678,0.0251550,0.0704243,4,3,1,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,pr,ANN,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,mm/day,0.0114550,0.5341239,0.0214463,-0.1457836,0.1769698,includes_zero,0.5000000,positive,0.5000000,0.5000000,0.0105678,0.0251550,0.0704243,4,3,1,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,pr,ANN,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,mm/day,0.0597953,0.3750983,0.1594124,-0.0539971,0.1765311,includes_zero,0.4666667,positive,0.4666667,0.5333333,0.0485374,0.0476351,0.0354018,4,4,0,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,pr,ANN,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,mm/day,0.0354748,0.4078724,0.0869753,-0.1154571,0.1657605,includes_zero,0.6000000,positive,0.6000000,0.4000000,0.0485374,0.0476351,0.0354018,4,4,0,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,pr,ANN,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,mm/day,0.0910382,0.3751371,0.2426799,-0.0528331,0.2185913,includes_zero,0.6333333,positive,0.6333333,0.3666667,0.0485374,0.0476351,0.0354018,4,4,0,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
original_box,pr,ANN,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,mm/day,0.0078412,0.4151801,0.0188864,-0.1121118,0.1475638,includes_zero,0.4666667,positive,0.4666667,0.5333333,0.0485374,0.0476351,0.0354018,4,4,0,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,pr,ANN,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,mm/day,0.0441308,0.4706704,0.0937615,-0.0400311,0.1337714,includes_zero,0.5666667,positive,0.5666667,0.4333333,0.0168975,0.0185298,0.0432197,4,2,2,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,pr,ANN,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,mm/day,-0.0310077,0.4999399,-0.0620229,-0.2185558,0.1503506,includes_zero,0.4000000,negative,0.6000000,0.4000000,0.0168975,0.0185298,0.0432197,4,2,2,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,pr,ANN,G6solar - G6sulfur,MPI-ESM1-2-LR,r2i1p1f1,gn,mm/day,0.0615381,0.4531054,0.1358140,-0.1195803,0.2318322,includes_zero,0.6333333,positive,0.6333333,0.3666667,0.0168975,0.0185298,0.0432197,4,2,2,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
southeast_land,pr,ANN,G6solar - G6sulfur,UKESM1-0-LL,r1i1p1f2,gn,mm/day,-0.0070711,0.5142144,-0.0137512,-0.1091303,0.1052365,includes_zero,0.5000000,negative,0.5000000,0.5000000,0.0168975,0.0185298,0.0432197,4,2,2,0,0,4,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,pr,JJA,G6solar - G6sulfur,CNRM-ESM2-1,r1i1p1f2,gr,mm/day,0.3582305,0.8747140,0.4095401,0.1242307,0.6035137,above_zero,0.7333333,positive,0.7333333,0.2666667,0.1291241,0.1626269,0.2822500,4,2,2,2,0,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
gulf_coast,pr,JJA,G6solar - G6sulfur,IPSL-CM6A-LR,r1i1p1f1,gr,mm/day,0.3766763,0.8357895,0.4506832,0.1581529,0.6180543,above_zero,0.6333333,positive,0.6333333,0.3666667,0.1291241,0.1626269,0.2822500,4,2,2,2,0,2,docs/phase7_per_model_temporal_variability.csv,docs/phase7_ensemble_temporal_summary.csv
