model,season,comparison,target_variant_label,reference_variant_label,grid_label,value_degC
CNRM-ESM2-1,ANN,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gr,-0.067339
IPSL-CM6A-LR,ANN,G6solar - G6sulfur,r1i1p1f1,r1i1p1f1,gr,-0.390087
MPI-ESM1-2-LR,ANN,G6solar - G6sulfur,r2i1p1f1,r2i1p1f1,gn,-0.814917
UKESM1-0-LL,ANN,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gn,-0.151747
CNRM-ESM2-1,ANN,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,-1.484391
IPSL-CM6A-LR,ANN,G6solar - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-2.103788
MPI-ESM1-2-LR,ANN,G6solar - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-1.714862
UKESM1-0-LL,ANN,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-2.353044
CNRM-ESM2-1,ANN,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,-1.417052
IPSL-CM6A-LR,ANN,G6sulfur - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-1.713701
MPI-ESM1-2-LR,ANN,G6sulfur - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-0.899944
UKESM1-0-LL,ANN,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-2.201297
CNRM-ESM2-1,DJF,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gr,-0.032985
IPSL-CM6A-LR,DJF,G6solar - G6sulfur,r1i1p1f1,r1i1p1f1,gr,-0.527614
MPI-ESM1-2-LR,DJF,G6solar - G6sulfur,r2i1p1f1,r2i1p1f1,gn,-1.583117
UKESM1-0-LL,DJF,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gn,-0.271181
CNRM-ESM2-1,DJF,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,-1.222696
IPSL-CM6A-LR,DJF,G6solar - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-1.925474
MPI-ESM1-2-LR,DJF,G6solar - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-1.211400
