comparison,season,mean,median,std,minimum,maximum,model_count,fraction_positive,fraction_negative,sign_agreement,units
G6solar - G6sulfur,ANN,0.047171,0.044578,0.039130,0.003707,0.095823,4,1.000000,0.000000,1.000000,mm/day
G6solar - G6sulfur,DJF,0.074707,0.048937,0.126072,-0.045448,0.246402,4,0.750000,0.250000,0.750000,mm/day
G6solar - G6sulfur,JJA,0.123317,0.183797,0.164534,-0.116522,0.242195,4,0.750000,0.250000,0.750000,mm/day
G6solar - G6sulfur,MAM,-0.098802,-0.119740,0.182149,-0.286364,0.130636,4,0.250000,0.750000,0.750000,mm/day
G6solar - G6sulfur,SON,0.085183,0.086754,0.091337,-0.024923,0.192147,4,0.750000,0.250000,0.750000,mm/day
G6solar - SSP5-8.5,ANN,0.001778,-0.005339,0.037478,-0.035848,0.053636,4,0.250000,0.750000,0.750000,mm/day
G6solar - SSP5-8.5,DJF,-0.042627,-0.083571,0.105017,-0.116061,0.112695,4,0.250000,0.750000,0.750000,mm/day
G6solar - SSP5-8.5,JJA,0.204071,0.171660,0.140716,0.082874,0.390089,4,1.000000,0.000000,1.000000,mm/day
G6solar - SSP5-8.5,MAM,0.062339,0.128746,0.216907,-0.252153,0.244016,4,0.750000,0.250000,0.750000,mm/day
G6solar - SSP5-8.5,SON,-0.227352,-0.239333,0.056545,-0.282143,-0.148600,4,0.000000,1.000000,1.000000,mm/day
G6sulfur - SSP5-8.5,ANN,-0.045394,-0.037406,0.041663,-0.103095,-0.003666,4,0.000000,1.000000,1.000000,mm/day
G6sulfur - SSP5-8.5,DJF,-0.117334,-0.089293,0.146685,-0.319597,0.028847,4,0.250000,0.750000,0.750000,mm/day
G6sulfur - SSP5-8.5,JJA,0.080754,0.108824,0.182678,-0.134421,0.239789,4,0.500000,0.500000,0.500000,mm/day
G6sulfur - SSP5-8.5,MAM,0.161141,0.162179,0.159505,0.012507,0.307699,4,1.000000,0.000000,1.000000,mm/day
G6sulfur - SSP5-8.5,SON,-0.312535,-0.341324,0.070722,-0.360196,-0.207297,4,0.000000,1.000000,1.000000,mm/day
