model,season,comparison,target_variant_label,reference_variant_label,grid_label,value_mm_day
CNRM-ESM2-1,ANN,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gr,0.057302
IPSL-CM6A-LR,ANN,G6solar - G6sulfur,r1i1p1f1,r1i1p1f1,gr,0.031853
MPI-ESM1-2-LR,ANN,G6solar - G6sulfur,r2i1p1f1,r2i1p1f1,gn,0.095823
UKESM1-0-LL,ANN,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gn,0.003707
CNRM-ESM2-1,ANN,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,0.053636
IPSL-CM6A-LR,ANN,G6solar - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-0.003405
MPI-ESM1-2-LR,ANN,G6solar - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-0.007272
UKESM1-0-LL,ANN,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-0.035848
CNRM-ESM2-1,ANN,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,-0.003666
IPSL-CM6A-LR,ANN,G6sulfur - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-0.035258
MPI-ESM1-2-LR,ANN,G6sulfur - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-0.103095
UKESM1-0-LL,ANN,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-0.039555
CNRM-ESM2-1,DJF,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gr,0.083848
IPSL-CM6A-LR,DJF,G6solar - G6sulfur,r1i1p1f1,r1i1p1f1,gr,0.014026
MPI-ESM1-2-LR,DJF,G6solar - G6sulfur,r2i1p1f1,r2i1p1f1,gn,0.246402
UKESM1-0-LL,DJF,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gn,-0.045448
CNRM-ESM2-1,DJF,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,0.112695
IPSL-CM6A-LR,DJF,G6solar - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-0.093947
MPI-ESM1-2-LR,DJF,G6solar - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-0.073195
UKESM1-0-LL,DJF,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-0.116061
CNRM-ESM2-1,DJF,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,0.028847
IPSL-CM6A-LR,DJF,G6sulfur - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-0.107973
MPI-ESM1-2-LR,DJF,G6sulfur - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-0.319597
UKESM1-0-LL,DJF,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-0.070613
CNRM-ESM2-1,JJA,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gr,0.217295
IPSL-CM6A-LR,JJA,G6solar - G6sulfur,r1i1p1f1,r1i1p1f1,gr,0.242195
MPI-ESM1-2-LR,JJA,G6solar - G6sulfur,r2i1p1f1,r2i1p1f1,gn,-0.116522
UKESM1-0-LL,JJA,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gn,0.150299
CNRM-ESM2-1,JJA,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,0.082874
IPSL-CM6A-LR,JJA,G6solar - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,0.234947
MPI-ESM1-2-LR,JJA,G6solar - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,0.108374
UKESM1-0-LL,JJA,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,0.390089
CNRM-ESM2-1,JJA,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,-0.134421
IPSL-CM6A-LR,JJA,G6sulfur - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-0.007248
MPI-ESM1-2-LR,JJA,G6sulfur - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,0.224895
UKESM1-0-LL,JJA,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,0.239789
CNRM-ESM2-1,MAM,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gr,-0.046131
IPSL-CM6A-LR,MAM,G6solar - G6sulfur,r1i1p1f1,r1i1p1f1,gr,-0.193350
MPI-ESM1-2-LR,MAM,G6solar - G6sulfur,r2i1p1f1,r2i1p1f1,gn,0.130636
UKESM1-0-LL,MAM,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gn,-0.286364
CNRM-ESM2-1,MAM,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,0.244016
IPSL-CM6A-LR,MAM,G6solar - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,0.114349
MPI-ESM1-2-LR,MAM,G6solar - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,0.143143
UKESM1-0-LL,MAM,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-0.252153
CNRM-ESM2-1,MAM,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,0.290147
IPSL-CM6A-LR,MAM,G6sulfur - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,0.307699
MPI-ESM1-2-LR,MAM,G6sulfur - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,0.012507
UKESM1-0-LL,MAM,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,0.034211
CNRM-ESM2-1,SON,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gr,-0.024923
IPSL-CM6A-LR,SON,G6solar - G6sulfur,r1i1p1f1,r1i1p1f1,gr,0.059757
MPI-ESM1-2-LR,SON,G6solar - G6sulfur,r2i1p1f1,r2i1p1f1,gn,0.113750
UKESM1-0-LL,SON,G6solar - G6sulfur,r1i1p1f2,r1i1p1f2,gn,0.192147
CNRM-ESM2-1,SON,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,-0.232220
IPSL-CM6A-LR,SON,G6solar - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-0.282143
MPI-ESM1-2-LR,SON,G6solar - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-0.246446
UKESM1-0-LL,SON,G6solar - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-0.148600
CNRM-ESM2-1,SON,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gr,-0.207297
IPSL-CM6A-LR,SON,G6sulfur - SSP5-8.5,r1i1p1f1,r1i1p1f1,gr,-0.341900
MPI-ESM1-2-LR,SON,G6sulfur - SSP5-8.5,r2i1p1f1,r2i1p1f1,gn,-0.360196
UKESM1-0-LL,SON,G6sulfur - SSP5-8.5,r1i1p1f2,r1i1p1f2,gn,-0.340747
