model,variant_label,grid_label,season,metric,comparison,value,units
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,cdd,G6solar - G6sulfur,-2.883453,days
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,cdd,G6solar - SSP5-8.5,-2.060827,days
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,cdd,G6sulfur - SSP5-8.5,0.822626,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,cdd,G6solar - G6sulfur,-1.735572,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,cdd,G6solar - SSP5-8.5,-1.008728,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,cdd,G6sulfur - SSP5-8.5,0.726843,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,cdd,G6solar - G6sulfur,-0.251697,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,cdd,G6solar - SSP5-8.5,-2.464128,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,cdd,G6sulfur - SSP5-8.5,-2.212431,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,cdd,G6solar - G6sulfur,-0.570690,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,cdd,G6solar - SSP5-8.5,-1.503520,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,cdd,G6sulfur - SSP5-8.5,-0.932831,days
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,cdd,G6solar - G6sulfur,-1.070213,days
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,cdd,G6solar - SSP5-8.5,1.302566,days
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,cdd,G6sulfur - SSP5-8.5,2.372779,days
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwd_tx90_3d,G6solar - G6sulfur,-10.684315,days
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwd_tx90_3d,G6solar - SSP5-8.5,-68.727473,days
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwd_tx90_3d,G6sulfur - SSP5-8.5,-58.043159,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwd_tx90_3d,G6solar - G6sulfur,-5.516105,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwd_tx90_3d,G6solar - SSP5-8.5,-4.527128,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwd_tx90_3d,G6sulfur - SSP5-8.5,0.988977,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwd_tx90_3d,G6solar - G6sulfur,-6.765463,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwd_tx90_3d,G6solar - SSP5-8.5,-37.831157,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwd_tx90_3d,G6sulfur - SSP5-8.5,-31.065693,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwd_tx90_3d,G6solar - G6sulfur,-4.951283,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwd_tx90_3d,G6solar - SSP5-8.5,-15.440379,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwd_tx90_3d,G6sulfur - SSP5-8.5,-10.489097,days
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,hwd_tx90_3d,G6solar - G6sulfur,-4.525369,days
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,hwd_tx90_3d,G6solar - SSP5-8.5,-21.020611,days
MPI-ESM1-2-LR,r2i1p1f1,gn,SON,hwd_tx90_3d,G6sulfur - SSP5-8.5,-16.495242,days
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwf_tx90_3d,G6solar - G6sulfur,-46.689121,days
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwf_tx90_3d,G6solar - SSP5-8.5,-100.827737,days
MPI-ESM1-2-LR,r2i1p1f1,gn,ANN,hwf_tx90_3d,G6sulfur - SSP5-8.5,-54.138617,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwf_tx90_3d,G6solar - G6sulfur,-16.263677,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwf_tx90_3d,G6solar - SSP5-8.5,-13.831589,days
MPI-ESM1-2-LR,r2i1p1f1,gn,DJF,hwf_tx90_3d,G6sulfur - SSP5-8.5,2.432088,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwf_tx90_3d,G6solar - G6sulfur,-9.716280,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwf_tx90_3d,G6solar - SSP5-8.5,-32.487186,days
MPI-ESM1-2-LR,r2i1p1f1,gn,JJA,hwf_tx90_3d,G6sulfur - SSP5-8.5,-22.770905,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwf_tx90_3d,G6solar - G6sulfur,-11.353946,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwf_tx90_3d,G6solar - SSP5-8.5,-26.345669,days
MPI-ESM1-2-LR,r2i1p1f1,gn,MAM,hwf_tx90_3d,G6sulfur - SSP5-8.5,-14.991723,days
