model,variant_label,grid_label,scenario,season,metric,units,period,calendar,represented_area_km2,contributing_cells,equivalent_cells,domain,value
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,ANN,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,31.1798948
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,ANN,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,15.7395097
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,ANN,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,86.6196810
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,ANN,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,14.4026297
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,ANN,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,235.3511988
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,ANN,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,49.0462389
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,ANN,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,94.9238690
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,ANN,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,36.9660913
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,DJF,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,15.5409514
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,DJF,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,5.9295035
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,DJF,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,14.1233571
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,DJF,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,2.8859674
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,DJF,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,82.4768319
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,DJF,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,38.4796221
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,DJF,rx5day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,67.9636011
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,DJF,txx,degC,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,24.2144181
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,JJA,cdd,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,17.5996217
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,JJA,hwd_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,13.0242279
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,JJA,hwf_tx90_3d,days,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,34.4711330
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,JJA,hwn_tx90_3d,events,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,4.8469238
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,JJA,r95ptot,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,20.5821410
MPI-ESM1-2-LR,r2i1p1f1,gn,G6solar,JJA,rx1day,mm,2071-2100,proleptic_gregorian,1862387.5452311,77,51.5740791,southeast_land,25.0548378
