metric,season,comparison,units,difference,ci_lower,ci_upper,target_mean,reference_mean,target_year_sd,reference_year_sd,pooled_year_sd,standardized_difference,target_lag1,reference_lag1,target_years,reference_years,bootstrap_replicates,block_length_years
txx,ANN,G6solar - SSP5-8.5,degC,-2.2748331,-2.9963364,-1.5890477,36.9660913,39.2409244,0.8705011,1.2545955,1.0797643,-2.1067867,0.0125651,0.2808441,30,30,2000,5
txx,ANN,G6sulfur - SSP5-8.5,degC,-1.8746557,-2.6061893,-1.1960377,37.3662687,39.2409244,0.7893056,1.2545955,1.0480967,-1.7886286,-0.1003106,0.2808441,30,30,2000,5
txx,ANN,G6solar - G6sulfur,degC,-0.4001775,-0.7677286,0.0145191,36.9660913,37.3662687,0.8705011,0.7893056,0.8308958,-0.4816217,0.0125651,-0.1003106,30,30,2000,5
txx,JJA,G6solar - SSP5-8.5,degC,-2.3341969,-3.0098301,-1.6876844,36.8443886,39.1785855,0.8707312,1.1918320,1.0437041,-2.2364547,-0.0054293,0.2788937,30,30,2000,5
txx,JJA,G6sulfur - SSP5-8.5,degC,-1.9186703,-2.6405575,-1.2769326,37.2599153,39.1785855,0.8245638,1.1918320,1.0247851,-1.8722659,-0.0898639,0.2788937,30,30,2000,5
txx,JJA,G6solar - G6sulfur,degC,-0.4155266,-0.7999652,0.0277866,36.8443886,37.2599153,0.8707312,0.8245638,0.8479617,-0.4900299,-0.0054293,-0.0898639,30,30,2000,5
hwf_tx90_3d,ANN,G6solar - SSP5-8.5,days,-84.2679948,-105.2441846,-64.2075335,86.6196810,170.8876759,23.4488634,32.8832100,28.5583149,-2.9507341,0.2617028,0.5135907,30,30,2000,5
hwf_tx90_3d,ANN,G6sulfur - SSP5-8.5,days,-48.2978837,-74.5113984,-25.2503487,122.5897922,170.8876759,26.9923830,32.8832100,30.0823390,-1.6055229,0.4881342,0.5135907,30,30,2000,5
hwf_tx90_3d,ANN,G6solar - G6sulfur,days,-35.9701111,-52.8479731,-18.4608411,86.6196810,122.5897922,23.4488634,26.9923830,25.2827801,-1.4227119,0.2617028,0.4881342,30,30,2000,5
hwf_tx90_3d,JJA,G6solar - SSP5-8.5,days,-33.7963710,-42.5732914,-24.9873974,34.4711330,68.2675041,12.6640820,12.6686616,12.6663720,-2.6681966,0.2191748,0.5586803,30,30,2000,5
hwf_tx90_3d,JJA,G6sulfur - SSP5-8.5,days,-26.7774370,-35.0159818,-18.6048870,41.4900670,68.2675041,10.4892973,12.6686616,11.6301407,-2.3024173,-0.0554776,0.5586803,30,30,2000,5
hwf_tx90_3d,JJA,G6solar - G6sulfur,days,-7.0189340,-12.8867270,-1.3841322,34.4711330,41.4900670,12.6640820,10.4892973,11.6276466,-0.6036418,0.2191748,-0.0554776,30,30,2000,5
rx5day,ANN,G6solar - SSP5-8.5,mm,-2.4385296,-6.6394846,2.3538986,94.9238690,97.3623986,8.6284464,11.5865340,10.2151323,-0.2387174,-0.1331589,0.1425882,30,30,2000,5
rx5day,ANN,G6sulfur - SSP5-8.5,mm,-3.7689347,-8.1778571,1.0593573,93.5934639,97.3623986,8.2571545,11.5865340,10.0605261,-0.3746260,-0.0795035,0.1425882,30,30,2000,5
rx5day,ANN,G6solar - G6sulfur,mm,1.3304051,-2.3078313,4.7219888,94.9238690,93.5934639,8.6284464,8.2571545,8.4448413,0.1575406,-0.1331589,-0.0795035,30,30,2000,5
rx5day,JJA,G6solar - SSP5-8.5,mm,0.7343770,-2.6264214,4.3085469,63.8753027,63.1409257,8.1954726,9.1042451,8.6617853,0.0847836,0.0342737,0.0416701,30,30,2000,5
rx5day,JJA,G6sulfur - SSP5-8.5,mm,2.8605446,-0.2080123,5.8220446,66.0014703,63.1409257,6.7876914,9.1042451,8.0299450,0.3562346,-0.4995753,0.0416701,30,30,2000,5
rx5day,JJA,G6solar - G6sulfur,mm,-2.1261676,-4.7604940,0.4347702,63.8753027,66.0014703,8.1954726,6.7876914,7.5245772,-0.2825631,0.0342737,-0.4995753,30,30,2000,5
cdd,ANN,G6solar - SSP5-8.5,days,-1.7651753,-4.9393090,1.4915257,31.1798948,32.9450701,4.8769823,7.5352164,6.3468277,-0.2781193,0.1806208,0.0378736,30,30,2000,5
cdd,ANN,G6sulfur - SSP5-8.5,days,1.8080674,-2.2271374,5.9170482,34.7531375,32.9450701,7.4958686,7.5352164,7.5155682,0.2405763,0.2453369,0.0378736,30,30,2000,5
cdd,ANN,G6solar - G6sulfur,days,-3.5732427,-6.9771927,0.1852256,31.1798948,34.7531375,4.8769823,7.4958686,6.3234880,-0.5650746,0.1806208,0.2453369,30,30,2000,5
cdd,JJA,G6solar - SSP5-8.5,days,-2.5997613,-4.9475980,-0.0067860,17.5996217,20.1993830,3.9819237,4.8852867,4.4565538,-0.5833569,0.3412252,-0.0603945,30,30,2000,5
cdd,JJA,G6sulfur - SSP5-8.5,days,-1.7262465,-3.8177352,0.3163683,18.4731364,20.1993830,3.3366907,4.8852867,4.1832721,-0.4126546,-0.0832880,-0.0603945,30,30,2000,5
cdd,JJA,G6solar - G6sulfur,days,-0.8735147,-2.7088041,1.4965304,17.5996217,18.4731364,3.9819237,3.3366907,3.6735011,-0.2377881,0.3412252,-0.0832880,30,30,2000,5
