domain,season,metric,comparison,units,mean,median,std,minimum,maximum,model_count,positive_count,negative_count,zero_count,sign_agreement,represented_area_km2,contributing_cells_min,contributing_cells_max,equivalent_cells_min,equivalent_cells_max
appalachian_interior,ANN,pr_mean,G6solar - G6sulfur,mm/day,0.0160062,0.0234900,0.0698218,-0.0696432,0.0866879,4,2,2,0,0.5000000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,-0.2029214,-0.1767859,0.2131797,-0.4555823,-0.0025316,4,0,4,0,1.0000000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.2189276,-0.2234874,0.2320294,-0.4460456,0.0173101,4,1,3,0,0.7500000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,ANN,tasmax_mean,G6solar - G6sulfur,degC,-0.4496684,-0.4542162,0.4349047,-0.9652977,0.0750564,4,1,3,0,0.7500000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,ANN,tasmax_mean,G6solar - SSP5-8.5,degC,-2.2271278,-2.1599828,0.6572904,-2.9923747,-1.5961710,4,0,4,0,1.0000000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,ANN,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.7774594,-1.8260288,0.7667451,-2.6525596,-0.8052204,4,0,4,0,1.0000000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,DJF,pr_mean,G6solar - G6sulfur,mm/day,-0.2920940,-0.3083750,0.3253845,-0.5737719,0.0221457,4,1,3,0,0.7500000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,DJF,pr_mean,G6solar - SSP5-8.5,mm/day,-0.3233720,-0.1565429,0.5050013,-1.0548298,0.0744275,4,1,3,0,0.7500000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,DJF,pr_mean,G6sulfur - SSP5-8.5,mm/day,-0.0312780,-0.0746766,0.4368902,-0.4828206,0.5070619,4,2,2,0,0.5000000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,DJF,tasmax_mean,G6solar - G6sulfur,degC,-0.7794177,-0.6740029,0.9506083,-2.0394338,0.2697687,4,1,3,0,0.7500000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,DJF,tasmax_mean,G6solar - SSP5-8.5,degC,-1.8861879,-1.9626818,0.7853414,-2.5871814,-1.0322063,4,0,4,0,1.0000000,281429.9312217,17,33,8.1203357,14.4140338
appalachian_interior,DJF,tasmax_mean,G6sulfur - SSP5-8.5,degC,-1.1067702,-1.7543293,1.4130692,-1.9256494,1.0072275,4,1,3,0,0.7500000,281429.9312217,17,33,8.1203357,14.4140338
