model,variant_label,grid_label,comparison,season,metric,units,period,represented_area_km2,contributing_cells,equivalent_cells,value,domain
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,ANN,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.0597953,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,ANN,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-0.0640376,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,DJF,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.0832534,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,DJF,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-0.0238074,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,JJA,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.2193422,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,JJA,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-0.2938709,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,MAM,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,-0.0423397,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,MAM,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,0.1118593,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,SON,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,-0.0220915,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - G6sulfur,SON,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-0.0702791,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.0515959,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.4808897,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.1105230,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.2209382,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.0800224,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.7078874,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.2379191,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.4961419,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,-0.2296848,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6solar - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.4681048,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,-0.0081995,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.4168521,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.0272696,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.1971308,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,-0.1393197,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.4140165,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,0.2802589,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.6080012,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844660.6936050,209,184.7961374,-0.2075933,original_box
CNRM-ESM2-1,r1i1p1f2,gr,G6sulfur - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844660.6936050,209,184.7961374,-1.3978257,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,ANN,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.0354748,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,ANN,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-0.4047026,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,DJF,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.0048121,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,DJF,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-0.5390476,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,JJA,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.2555874,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,JJA,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-0.3485888,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,MAM,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.1599950,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,MAM,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-0.4019685,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,SON,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.0420595,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - G6sulfur,SON,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-0.3674505,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.0188275,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-2.1256878,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.1408677,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.9515742,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.2332561,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-2.2657806,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.1039009,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-2.2599317,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.2894144,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6solar - SSP5-8.5,SON,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-2.0864338,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,ANN,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.0543024,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,ANN,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.7209851,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,DJF,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.1360556,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,DJF,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.4125266,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,JJA,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.0223313,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,JJA,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.9171918,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,MAM,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,0.2638958,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,MAM,tasmax_mean,degC,2071-2100,3844742.2345779,132,114.8717751,-1.8579632,original_box
IPSL-CM6A-LR,r1i1p1f1,gr,G6sulfur - SSP5-8.5,SON,pr_mean,mm/day,2071-2100,3844742.2345779,132,114.8717751,-0.3314739,original_box
