domain,season,metric,comparison,units,mean,median,std,minimum,maximum,model_count,positive_count,negative_count,zero_count,sign_agreement,represented_area_km2,contributing_cells_min,contributing_cells_max,equivalent_cells_min,equivalent_cells_max
gulf_coast,ANN,pr_mean,G6solar - G6sulfur,mm/day,0.0105678,0.0251550,0.0704243,-0.0866398,0.0786008,4,3,1,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,ANN,tasmax_mean,G6solar - G6sulfur,degC,-0.3972113,-0.2410464,0.4411527,-1.0313586,-0.0753938,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,DJF,pr_mean,G6solar - G6sulfur,mm/day,0.0447624,0.0357299,0.2070516,-0.1991911,0.3067811,4,3,1,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,DJF,tasmax_mean,G6solar - G6sulfur,degC,-0.6916696,-0.3315528,0.9240420,-2.0520695,-0.0515034,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,JJA,pr_mean,G6solar - G6sulfur,mm/day,0.1291241,0.1626269,0.2822500,-0.1854339,0.3766763,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,JJA,tasmax_mean,G6solar - G6sulfur,degC,-0.3725135,-0.4033393,0.1234199,-0.4833709,-0.2000043,4,0,4,0,1.0000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,MAM,pr_mean,G6solar - G6sulfur,mm/day,-0.2007748,-0.1816913,0.2349520,-0.5058509,0.0661344,4,1,3,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,MAM,tasmax_mean,G6solar - G6sulfur,degC,-0.2348723,-0.0404355,0.5483851,-1.0152947,0.1566766,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,SON,pr_mean,G6solar - G6sulfur,mm/day,0.0522089,0.0304389,0.1554749,-0.0922251,0.2401829,4,2,2,0,0.5000000,917554.3365086,46,73,24.8132905,44.0423603
gulf_coast,SON,tasmax_mean,G6solar - G6sulfur,degC,-0.3200064,-0.3630095,0.2456358,-0.5665465,0.0125397,4,1,3,0,0.7500000,917554.3365086,46,73,24.8132905,44.0423603
original_box,ANN,pr_mean,G6solar - G6sulfur,mm/day,0.0485374,0.0476351,0.0354018,0.0078412,0.0910382,4,4,0,0,1.0000000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,ANN,tasmax_mean,G6solar - G6sulfur,degC,-0.3579963,-0.2788881,0.3341900,-0.8101714,-0.0640376,4,0,4,0,1.0000000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,DJF,pr_mean,G6solar - G6sulfur,mm/day,0.0669650,0.0392207,0.1118256,-0.0288991,0.2183180,4,2,2,0,0.5000000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,DJF,tasmax_mean,G6solar - G6sulfur,degC,-0.6029880,-0.4102131,0.6766771,-1.5677184,-0.0238074,4,0,4,0,1.0000000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,JJA,pr_mean,G6solar - G6sulfur,mm/day,0.1273941,0.1787859,0.1616125,-0.1035830,0.2555874,4,3,1,0,0.7500000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,JJA,tasmax_mean,G6solar - G6sulfur,degC,-0.3080213,-0.3212298,0.0914899,-0.4018555,-0.1877699,4,0,4,0,1.0000000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,MAM,pr_mean,G6solar - G6sulfur,mm/day,-0.0849617,-0.1011674,0.1737274,-0.2719453,0.1344332,4,1,3,0,0.7500000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,MAM,tasmax_mean,G6solar - G6sulfur,degC,-0.2489736,-0.1722758,0.4130834,-0.7632020,0.1118593,4,2,2,0,0.5000000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,SON,pr_mean,G6solar - G6sulfur,mm/day,0.0789554,0.0740884,0.0905206,-0.0220915,0.1897363,4,3,1,0,0.7500000,3844696.1218877,132,209,104.1086672,184.7961374
original_box,SON,tasmax_mean,G6solar - G6sulfur,degC,-0.3033228,-0.3206232,0.1813589,-0.5017658,-0.0702791,4,0,4,0,1.0000000,3844696.1218877,132,209,104.1086672,184.7961374
southeast_land,ANN,pr_mean,G6solar - G6sulfur,mm/day,0.0168975,0.0185298,0.0432197,-0.0310077,0.0615381,4,2,2,0,0.5000000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,ANN,tasmax_mean,G6solar - G6sulfur,degC,-0.4098575,-0.2959216,0.4345298,-1.0142485,-0.0333383,4,0,4,0,1.0000000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,DJF,pr_mean,G6solar - G6sulfur,mm/day,-0.0158151,0.0099934,0.1428136,-0.2111585,0.1279113,4,2,2,0,0.5000000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,DJF,tasmax_mean,G6solar - G6sulfur,degC,-0.7120776,-0.4214653,0.9372196,-2.0680229,0.0626431,4,1,3,0,0.7500000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,JJA,pr_mean,G6solar - G6sulfur,mm/day,0.1086756,0.1099775,0.2180524,-0.1402030,0.3549505,4,3,1,0,0.7500000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,JJA,tasmax_mean,G6solar - G6sulfur,degC,-0.3744556,-0.4060014,0.0951763,-0.4470221,-0.2387975,4,0,4,0,1.0000000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,MAM,pr_mean,G6solar - G6sulfur,mm/day,-0.0893900,-0.1166090,0.1448697,-0.2258907,0.1015489,4,1,3,0,0.7500000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,MAM,tasmax_mean,G6solar - G6sulfur,degC,-0.2284873,-0.1229628,0.5040667,-0.8777134,0.2096899,4,2,2,0,0.5000000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,SON,pr_mean,G6solar - G6sulfur,mm/day,0.0462865,0.0688045,0.1469209,-0.1323017,0.1798390,4,2,2,0,0.5000000,1862394.8752856,77,133,51.5740791,91.5419063
southeast_land,SON,tasmax_mean,G6solar - G6sulfur,degC,-0.3573582,-0.3591747,0.2460782,-0.6550737,-0.0560097,4,0,4,0,1.0000000,1862394.8752856,77,133,51.5740791,91.5419063
