domain,season,metric,comparison,units,omitted_model,full_mean,leave_one_out_mean,full_sign,leave_one_out_sign,sign_changed,model_count
appalachian_interior,ANN,pr_mean,G6solar - G6sulfur,mm/day,CNRM-ESM2-1,0.0160062,0.0025027,1,1,False,3
appalachian_interior,ANN,pr_mean,G6solar - G6sulfur,mm/day,IPSL-CM6A-LR,0.0160062,0.0245204,1,1,False,3
appalachian_interior,ANN,pr_mean,G6solar - G6sulfur,mm/day,MPI-ESM1-2-LR,0.0160062,0.0445559,1,1,False,3
appalachian_interior,ANN,pr_mean,G6solar - G6sulfur,mm/day,UKESM1-0-LL,0.0160062,-0.0075544,1,-1,True,3
appalachian_interior,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.2029214,-0.2697180,-1,-1,False,3
appalachian_interior,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.2029214,-0.1187011,-1,-1,False,3
appalachian_interior,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.2029214,-0.2531175,-1,-1,False,3
appalachian_interior,ANN,pr_mean,G6solar - SSP5-8.5,mm/day,UKESM1-0-LL,-0.2029214,-0.1701490,-1,-1,False,3
appalachian_interior,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,CNRM-ESM2-1,-0.2189276,-0.2722207,-1,-1,False,3
appalachian_interior,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,IPSL-CM6A-LR,-0.2189276,-0.1432216,-1,-1,False,3
appalachian_interior,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,MPI-ESM1-2-LR,-0.2189276,-0.2976735,-1,-1,False,3
appalachian_interior,ANN,pr_mean,G6sulfur - SSP5-8.5,mm/day,UKESM1-0-LL,-0.2189276,-0.1625946,-1,-1,False,3
appalachian_interior,ANN,tasmax_mean,G6solar - G6sulfur,degC,CNRM-ESM2-1,-0.4496684,-0.6245767,-1,-1,False,3
