model,variant_label,grid_label,domain,metric,units,season,comparison,tested_block_length_years,mean_difference,ci_lower,ci_upper,interval_classification
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.4329044,-0.7903526,-0.0898012,below_zero
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.4329044,-0.7200651,-0.1439503,below_zero
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.4329044,-0.7003324,-0.1513386,below_zero
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.2938709,-0.5227062,-0.0728119,below_zero
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.2938709,-0.4688281,-0.0979926,below_zero
CNRM-ESM2-1,r1i1p1f2,gr,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.2938709,-0.4440878,-0.1226192,below_zero
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.3784671,-0.7622734,-0.0053005,below_zero
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.3784671,-0.6795330,-0.0405999,below_zero
CNRM-ESM2-1,r1i1p1f2,gr,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.3784671,-0.6427902,-0.0756821,below_zero
IPSL-CM6A-LR,r1i1p1f1,gr,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.3737742,-0.7150113,-0.0218991,below_zero
IPSL-CM6A-LR,r1i1p1f1,gr,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.3737742,-0.7458377,0.0024415,includes_zero
IPSL-CM6A-LR,r1i1p1f1,gr,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.3737742,-0.7450011,0.0191524,includes_zero
IPSL-CM6A-LR,r1i1p1f1,gr,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.3485888,-0.5766108,-0.1165722,below_zero
IPSL-CM6A-LR,r1i1p1f1,gr,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.3485888,-0.5994890,-0.0875324,below_zero
IPSL-CM6A-LR,r1i1p1f1,gr,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.3485888,-0.6147671,-0.0743212,below_zero
IPSL-CM6A-LR,r1i1p1f1,gr,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.4335356,-0.7359601,-0.1100454,below_zero
IPSL-CM6A-LR,r1i1p1f1,gr,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.4335356,-0.7725314,-0.0942797,below_zero
IPSL-CM6A-LR,r1i1p1f1,gr,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.4335356,-0.7732000,-0.0743138,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.4833709,-0.8510617,-0.1369106,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.4833709,-0.8667842,-0.1261538,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.4833709,-0.8569918,-0.1481053,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.4018555,-0.6513107,-0.1655583,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.4018555,-0.6605280,-0.1679062,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,original_box,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.4018555,-0.6324001,-0.2021810,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.4470221,-0.8209558,-0.0918240,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,5,-0.4470221,-0.8152638,-0.0951591,below_zero
MPI-ESM1-2-LR,r2i1p1f1,gn,southeast_land,tasmax_mean,degC,JJA,G6solar - G6sulfur,7,-0.4470221,-0.7687375,-0.1625103,below_zero
UKESM1-0-LL,r1i1p1f2,gn,gulf_coast,tasmax_mean,degC,JJA,G6solar - G6sulfur,3,-0.2000043,-0.5396963,0.2095755,includes_zero
