domain,metric,units,season,comparison,model_count,positive_mean_count,negative_mean_count,zero_mean_count,temporal_ci_positive_count,temporal_ci_negative_count,temporal_ci_includes_zero_count,ensemble_mean_difference,ensemble_median_difference,inter_model_sd,minimum_model_mean,maximum_model_mean
gulf_coast,pr_mean,mm/day,ANN,G6solar - G6sulfur,4,3,1,0,0,0,4,0.0105678,0.0251550,0.0704243,-0.0866398,0.0786008
gulf_coast,pr_mean,mm/day,ANN,G6solar - SSP5-8.5,4,2,2,0,0,0,4,-0.0315312,0.0041558,0.0829705,-0.1549395,0.0205029
gulf_coast,pr_mean,mm/day,ANN,G6sulfur - SSP5-8.5,4,1,3,0,0,0,4,-0.0420990,-0.0418155,0.1021249,-0.1663945,0.0816294
gulf_coast,pr_mean,mm/day,DJF,G6solar - G6sulfur,4,3,1,0,0,0,4,0.0447624,0.0357299,0.2070516,-0.1991911,0.3067811
gulf_coast,pr_mean,mm/day,DJF,G6solar - SSP5-8.5,4,2,2,0,0,1,3,-0.0582050,-0.0868759,0.2155383,-0.2544253,0.1953570
gulf_coast,pr_mean,mm/day,DJF,G6sulfur - SSP5-8.5,4,1,3,0,0,1,3,-0.1029674,-0.1406708,0.2046614,-0.2783047,0.1477766
gulf_coast,pr_mean,mm/day,JJA,G6solar - G6sulfur,4,2,2,0,2,0,2,0.1291241,0.1626269,0.2822500,-0.1854339,0.3766763
gulf_coast,pr_mean,mm/day,JJA,G6solar - SSP5-8.5,4,4,0,0,1,0,3,0.1699400,0.1785013,0.1530433,0.0033664,0.3193909
gulf_coast,pr_mean,mm/day,JJA,G6sulfur - SSP5-8.5,4,2,2,0,1,1,2,0.0408159,0.0828801,0.3279529,-0.3548641,0.3523675
gulf_coast,pr_mean,mm/day,MAM,G6solar - G6sulfur,4,1,3,0,0,1,3,-0.2007748,-0.1816913,0.2349520,-0.5058509,0.0661344
gulf_coast,pr_mean,mm/day,MAM,G6solar - SSP5-8.5,4,2,2,0,0,0,4,0.0133006,0.0430422,0.2144593,-0.2429997,0.2101176
gulf_coast,pr_mean,mm/day,MAM,G6sulfur - SSP5-8.5,4,3,1,0,1,0,3,0.2140754,0.0924014,0.3408689,-0.0444698,0.7159686
gulf_coast,pr_mean,mm/day,SON,G6solar - G6sulfur,4,2,2,0,0,0,4,0.0522089,0.0304389,0.1554749,-0.0922251,0.2401829
gulf_coast,pr_mean,mm/day,SON,G6solar - SSP5-8.5,4,0,4,0,0,3,1,-0.2747366,-0.2943737,0.1515634,-0.4340194,-0.0761795
gulf_coast,pr_mean,mm/day,SON,G6sulfur - SSP5-8.5,4,1,3,0,0,2,2,-0.3269455,-0.3248127,0.2843785,-0.6742023,0.0160456
gulf_coast,tasmax_mean,degC,ANN,G6solar - G6sulfur,4,0,4,0,0,2,2,-0.3972113,-0.2410464,0.4411527,-1.0313586,-0.0753938
gulf_coast,tasmax_mean,degC,ANN,G6solar - SSP5-8.5,4,0,4,0,0,4,0,-2.0683550,-2.0068680,0.4271181,-2.6224196,-1.6372643
gulf_coast,tasmax_mean,degC,ANN,G6sulfur - SSP5-8.5,4,0,4,0,0,4,0,-1.6711437,-1.6798308,0.6927268,-2.5025399,-0.8223731
gulf_coast,tasmax_mean,degC,DJF,G6solar - G6sulfur,4,0,4,0,0,1,3,-0.6916696,-0.3315528,0.9240420,-2.0520695,-0.0515034
