model,variant_label,grid_label,domain,metric,units,season,comparison,mean_difference,median_difference,paired_interannual_sd,standard_error,standardized_effect_size,minimum_difference,maximum_difference,year_count,fraction_positive,fraction_negative,fraction_zero,lag1_autocorrelation,ci_lower,ci_upper,interval_classification,zero_inside_interval,bootstrap_replicates,block_length_years
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,ANN,G6solar - G6sulfur,0.0388551,0.0221006,0.4989942,0.0911035,0.0778668,-1.1983029,1.1757675,30,0.5000000,0.5000000,0.0000000,-0.0460351,-0.0803148,0.1638490,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,ANN,G6solar - SSP5-8.5,0.0133220,-0.0484017,0.5217696,0.0952617,0.0255324,-1.0388115,1.0061763,30,0.4666667,0.5333333,0.0000000,-0.0823050,-0.1167258,0.1329634,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,ANN,G6sulfur - SSP5-8.5,-0.0255330,-0.0590031,0.5390535,0.0984172,-0.0473664,-1.1924569,1.3865381,30,0.4333333,0.5666667,0.0000000,0.1869862,-0.1805266,0.1411163,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,DJF,G6solar - G6sulfur,0.0475804,-0.2086017,0.8647432,0.1605788,0.0550226,-1.4104352,1.7551386,29,0.4137931,0.5862069,0.0000000,0.0639477,-0.1309826,0.2588598,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,DJF,G6solar - SSP5-8.5,0.1953570,0.1423126,1.0322421,0.1916826,0.1892550,-1.6876707,2.4360770,29,0.6206897,0.3793103,0.0000000,-0.0919654,-0.0949093,0.5401012,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,DJF,G6sulfur - SSP5-8.5,0.1477766,0.0529495,0.8761733,0.1627013,0.1686613,-1.4311287,2.6858016,29,0.5172414,0.4827586,0.0000000,-0.0489860,-0.1614587,0.4952587,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,JJA,G6solar - G6sulfur,0.3582305,0.2701090,0.8747140,0.1597002,0.4095401,-1.4317086,2.0723644,30,0.7333333,0.2666667,0.0000000,-0.0422041,0.1242307,0.6035137,above_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,JJA,G6solar - SSP5-8.5,0.0033664,-0.0207669,1.2236993,0.2234159,0.0027510,-2.2505190,2.3511293,30,0.5000000,0.5000000,0.0000000,0.0884866,-0.4630533,0.3822866,includes_zero,True,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,JJA,G6sulfur - SSP5-8.5,-0.3548641,-0.3952622,0.9047164,0.1651779,-0.3922379,-2.1939364,1.5743798,30,0.3333333,0.6666667,0.0000000,0.0128685,-0.6815587,-0.1000079,below_zero,False,10000,5
CNRM-ESM2-1,r1i1p1f2,gr,gulf_coast,pr_mean,mm/day,MAM,G6solar - G6sulfur,-0.1648528,-0.0316345,1.0056254,0.1836012,-0.1639306,-2.8188436,1.5147955,30,0.4666667,0.5333333,0.0000000,-0.1911130,-0.4350107,0.0653000,includes_zero,True,10000,5
